职位id,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
inn_pamrhsck5jj3,数据处理助理,100-120/天,DMC,上海,企业服务/咨询,不限,5天／周,实习3个月,留学生实习；暑期实习,"我们是一家猎头公司。


该职位居家办公，支持公司在线处理相关业务数据，包括数据录入和更新工作。

要求候选人目前长居上海，打字熟练，有一定的英语阅读能力。

请有可能接受我们的薪资再应聘，谢谢！", 中文,2026-01-30,上海市/上海市/静安区 东海广场 铜仁路299号,https://www.shixiseng.com/intern/inn_pamrhsck5jj3?pcm=pc_SearchList
inn_lsehlvf9uwxm,数据分析实习生,180-200/天,LINSY 林氏,佛山,互联网/游戏/软件,本科,5天／周,实习3个月,节日福利；餐补；免费班车；月休8天；下午茶,"工作职责
1，协助完成用户运营和消费者洞察的数据分析工作；
2，数据分析方向包括但不限于：用户运营监测，舆情数据监测，用户画像/体验研究、数据追踪、竞品分析等，在指导下输出报告； 
任职资格
1、计算机科学、数学、统计学等相关专业的在校生； 
2.具备数据爬取、数据清洗、数据建模、NLP分析、数据可视化的基础技能；
3.对数据敏感，善于从数据中发现问题和验证结论，具备良好的逻辑分析和表达能力", 中文,2026-01-12,广东省/佛山市/南海区 林氏家居总部,https://www.shixiseng.com/intern/inn_lsehlvf9uwxm?pcm=pc_SearchList
inn_djxrnor9cp79,主数据实习生,150/天,达能,广州,快消/百货/批发/零售,本科,4天／周,实习3个月,一对一导师；不打卡；节日福利；地铁周边,"岗位目标：协助主数据团队完成日常主数据审核与维护，协助提升数据质量与流程文档规范，支持其他数据整理与分析工作。 

岗位职责 
1. 协助客户、物料等主数据的创建与更新申请审核，支持 SAP 系统内数据维护 
2. 参与年度主数据质量检查项目，协助问题数据清洗与整理 
3. 协助更新主数据流程规范文档，配合主数据团队完成各类数据整理分析工作 

我们希望你： 
1. 本科及以上学历，数据治理、统计学、信息管理、供应链管理等专业优先，在校学生或应届毕业生均可 
2. 对数据敏感、逻辑清晰，做事细心负责，能严格把控数据准确性 
3. 沟通顺畅、积极主动，愿意配合团队完成日常任务，有强烈学习意愿 
4. 熟练使用 Excel、Word 等办公软件，有数据整理、表格处理经验者加分 
5. 了解 SAP 或主数据管理系统者优先，无经验也可，我们提供系统培训 
6. 每周能实习 4 天及以上，持续 3 个月，对快消行业及主数据管理感兴趣 

你将收获： 
1. 系统学习快消行业主数据核心流程，快速了解行业基础运作逻辑； 
2. 参与真实业务场景的主数据质量管理工作，积累实操经验，提升数据敏感度； 
3. 上手操作 SAP MDM 等主流主数据系统，掌握职场实用技能； 
4. 有资深同事全程带教，积累数据治理、流程优化相关实战经历。 ", 中文,2026-02-20,广东省/广州市/天河区 万菱汇,https://www.shixiseng.com/intern/inn_djxrnor9cp79?pcm=pc_SearchList
inn_spaspum1ghiz,数据风控实习生,120-150/天,国泰产险,上海,金融/经济/投资/财会,本科,3天／周,实习6个月,有转正机会,"工作职责1、协助对保险产品、风险模型、风险策略进行数据监控，完成相关分析报告及监控报表，支持业务决策；
2、处理数据风控工作中的会议组织、部门间沟通等相关事项；
3、领导交办的其他工作。
任职资格1、本科及以上学历，专业背景不限；
2、对保险数据分析、风控工作感兴趣，有强烈学习意愿及快速学习能力；
3、踏实沉稳、良好的口头与书面沟通能力；
4、每周到岗至少3天，能接受长期（至少六个月）实习；
5、有统计、数学、经济学、计算机、工程、保险精算、运筹学或相关数量分析领域学习经历者优先，会写SQL等数据库语言者优先。", 中文,2026-01-31,杨浦区黄兴路221号互联宝地E座,https://www.shixiseng.com/intern/inn_spaspum1ghiz?pcm=pc_SearchList
inn_uwwynfyw8kta,数据风控实习生,120-150/天,国泰产险,上海,金融/经济/投资/财会,本科,3天／周,实习6个月,互联网风控模型；有留用机会,"岗位职责:
1、协助对保险产品、风险模型、风险策略进行数据监控，完成相关分析报告及监控报表，支持业务决策；
2、处理数据风控工作中的会议组织、部门间沟通等相关事项；
3、领导交办的其他工作。
任职要求:
1、本科及以上学历，专业背景不限；
2、对保险数据分析、风控工作感兴趣，有强烈学习意愿及快速学习能力；
3、踏实沉稳、良好的口头与书面沟通能力；
4、每周到岗至少3天，能接受长期（至少六个月）实习；
5、有统计、数学、经济学、计算机、工程、保险精算、运筹学或相关数量分析领域学习经历者优先，会写SQL等数据库语言者优先。", 中文,2026-04-03,杨浦区黄兴路221号互联宝地E座,https://www.shixiseng.com/intern/inn_uwwynfyw8kta?pcm=pc_SearchList
inn_6ebf8n9ujzpk,数据工程师-BST,150-180/天,博世中国,苏州,汽车/机械/制造,不限,5天／周,实习6个月,500强；有班车；导师一对一指导,"关于我们 
博世集团（Bosch Group）成立于1886年，全称是罗伯特·博世有限公司（BOSCH），是工业技术、消费品和能源及建筑技术的产业。博世公司以其创新尖端的产品及系统解决方案闻名于世。
博世集团是全球第一大汽车技术供应商，员工人数超过 42万，遍布 50 多个国家。2022年销售额达到884亿欧元，其中在中国销售额达到1323亿人民币。 2018年7月19日，《世界500强排行榜发布，博世集团位列75位。2022年12月，位列《2022胡润世界500强》第58位。
 
职责描述:
1. Develop and optimize large-scale ETL data pipelines for efficient data collection, cleaning, and processing. 
2. Work with big data frameworks such as Spark, Hadoop, and Oracle, as well as visualization tools like Tableau.  
3. Participate in the design and implementation of data warehouses to support analytics and business needs.  
4. Write high-quality, maintainable code to ensure stability and scalability of data workflows. 

岗位要求:
1. Proficiency in Python, and familiarity with PySpark, Hadoop, SQL and Tableau.  
2. Strong analytical and problem-solving skills.  
3. Knowledge of machine learning or time-series analysis is a plus. 
4. 实习周期6个月 

福利:
500强外企，跨文化交流，大平台新视野。
公司有食堂班车，工作氛围轻松愉快，可优先接触内部转正机会！
与行业专家一对一指导，快速提升专业技能和职场竞争力。
在世界百强外企中积累宝贵的实习经验，为你的简历增色。", 中文,2025-12-13,星龙街,https://www.shixiseng.com/intern/inn_6ebf8n9ujzpk?pcm=pc_SearchList
inn_ookmgz3qug2d,量化数据实习生,200-250/天,佐原资本,北京,金融/经济/投资/财会,本科,4天／周,实习3个月,暑期实习；接受大一大二；节日福利,"岗位职责：
1. 处理和分析金融市场数据，包括股票、期货、Crypto、另类资产等；
2. 协助开发量化分析工具，优化数据处理流程，提高计算效率；
3. 参与量化策略的研究、回测及优化，辅助搭建交易模型；
4. 维护数据清洗、存储及调用，保证数据质量和稳定性；
5. 支持团队数据分析需求。
任职要求：
1. 计算机、数学、金融工程、统计、物理等相关专业，本科及以上学历；
2. 熟练使用Python或C++进行数据处理及分析，有NumPy、Pandas、爬虫等相关经验；
3. 具备基本的机器学习、时间序列分析或数理统计知识；
4. 对金融市场、量化投资有浓厚兴趣，有相关实习或研究经验；

加分项：
• 有量化交易策略开发经验，；
• 研报复现经历；
• 参与过竞赛（如Numerai、Kaggle、华尔街见闻量化比赛等）。", 中文,2026-04-26,北京市/北京市/朝阳区 亮马河大厦TOWER2座办公楼,https://www.shixiseng.com/intern/inn_ookmgz3qug2d?pcm=pc_SearchList
inn_baznuhmmciio,数据分析实习生,100-200/天,中国教育在线,天津,互联网/移动互联网/电子商务,本科,4天／周,实习6个月,实习证明,"职位职责：
协助数据分析团队收集、整合和清洗数据；
使用统计工具进行初步的数据分析；
参与高等教育领域的市场研究、需求调研和数据采集；
在团队的指导下，完成特定的数据分析项目，输出分析报告；
协助团队进行数据分析产品的测试和优化；
参与团队会议，提供自己的观点和建议。

职位要求：
本科及以上学历，统计学、数学、经济学、社会学、教育等相关专业；
对数据分析有浓厚的兴趣，愿意在这一领域深入发展；
熟悉基本的数据分析工具，如Python、R、SAS、SPSS等；
良好的沟通和团队合作能力，对数据具有敏感性、注重细节；
对高等教育领域有基本的了解；
一周实习4天及以上，实习周期6个月。

我们为您提供：
与经验丰富的高级数据分析师、产品经理紧密合作的机会；
全流程数据分析项目经验，导师全程指导，为将来职业生涯打下坚实基础；
实习期间表现出色有转全职机会", 中文,2025-11-29,天津市/天津市/西青区 新技术产业园区海泰南道16号A座4层,https://www.shixiseng.com/intern/inn_baznuhmmciio?pcm=pc_SearchList
inn_stfpsasiimdx,数据分析实习生,150-250/天,OPPO,深圳,电子/通信/硬件,本科,5天／周,实习4个月,周末双休,"岗位职责:
1、负责视频及资讯产品数据分析工作
2、开展专题分析挖掘业务增长点，协同产运输出可落地的优化方案
3、通过机器学习模型等方法，挖掘数据价值，改进产品
4、参与业务的AB实验，协助进行实验设计和数据回收
5、负责从埋点到可视化报表的开发和指标异动归因

任职要求:
1、本科及以上学历，统计学、数学、计算机等相关专业优先
2、熟练使用SQL，掌握Python、可视化分析工具者优先
3、具备良好的逻辑思维能力、学习能力、沟通协调能力和主动性
4、责任心强，具备良好的团队协作和抗压能力
5、可实习3个月以上，周一到周五可满勤实习优先", 中文,2026-01-17,广东省/深圳市/南山区 OPPO前海办公楼 桂湾四路55号华润前海大厦B座,https://www.shixiseng.com/intern/inn_stfpsasiimdx?pcm=pc_SearchList
inn_ufuziudm9sqb,数据分析实习生,150/天,中国教育在线,济南,互联网/移动互联网/电子商务,大专,5天／周,实习3个月,周末双休,"我们团队致力于为高校招生提供数据分析服务，现招聘3名实习生协助进行分析工作，本岗位核心是协助开发报告自动化生成系统，以及报告撰写工作。

岗位职责：
1. 自动化报告系统开发 ：
     根据具体要求开发和完善Python程序，实现对原始招生数据的自动化清洗与处理以及图表生成（使用Pandas、Matplotlib等库）。
     根据成熟的工作流程，补充Word报告生成模块代码，利用Aspose-Words（或类似库如python-docx）将清洗后的数据、分析结果和图表自动整合到结构化的Word文档中，形成报告初稿。
    
2. 生源质量报告撰写与完善：
    基于系统生成的报告初稿（包含数据和图表），进行解读、提炼洞察、总结特征与趋势。
    熟练使用Microsoft Word对报告进行最终的专业排版、内容编辑、格式优化与美化。
  
我们希望您具备：
1.熟练的办公软件操作：精通Microsoft Word进行长篇文档排版与编辑；精通Microsoft Excel进行数据管理、公式计算、基础统计及图表制作。
2.扎实的编程能力：熟练掌握Python，特别是用于数据处理的常用库（如Pandas, NumPy、Matplotlib）。有使用Python自动化生成Word或PDF文档经验者（如Aspose, python-docx, ReportLab等）优先。
统计学基础：理解描述性统计、假设检验、相关性分析等基本概念，并能通过数据分布、趋势图表解读数据特征。
3.相关专业背景：计算机类、数学统计学类、经济管理类的硕士研究生。
4.时间要求：最少实习三个月，周末双休，8小时工作制。

我们可以提供：
1.发放实习工资（150元/天），每月实习满22天，发放满勤工资3500元；
2.专业技术大拿一对一教学；
3.实习期满3个月可以开具实习报告；
4.国家级平台实习经历加持；
5.表现优异者签订正式员工聘用合同
6.暑期茶饮小福利
7.公司内荐奖", 中文,2025-11-29,山东省/济南市/历下区 金星龙盛大厦6层,https://www.shixiseng.com/intern/inn_ufuziudm9sqb?pcm=pc_SearchList
inn_fjlrnawshi5p,数据工程师实习生,200-250/天,飞未云科,深圳,企业服务/咨询,本科,5天／周,实习6个月,周末双休；零基础实习,"职位描述
1.负责 ETL 方案的设计和实现，确保数据准确和稳定；
2.根据业务需求进行数据同步、处理、统计、开发报表（Excel/CSV）；
3.负责编写和维护数据清洗文档以及数据字典；
4.理解业务需求，与数据分析师、项目经理、测试工程师等上下游同事一起完成业务交付。
 
职位要求
1.本科及以上学历，经验不限；
2.熟悉 Python ，有独立编写脚本能力；
3.熟练使用 SQL，熟悉联表、聚合、窗口函数、索引、分区等特性，熟悉数据表结构设计；
4.熟悉大数据技术，包括 Hadoop、Hive、Impala、Spark、Flink 等技术的优先；有技术类实习经验或比赛经验优先;
5.良好的沟通表达能力，能快速理解和沟通清楚业务需求，具备良好的工作习惯；
6.有责任心，对自己的交付质量、及时性负责。", 中文,2025-11-29,广东省/深圳市/南山区 前海嘉里中心T1栋,https://www.shixiseng.com/intern/inn_fjlrnawshi5p?pcm=pc_SearchList
inn_rfiw9xzgrxft,数据处理工程师,120-180/天,极云地理,广州,互联网/游戏/软件,大专,5天／周,实习3个月,节日福利；一对一导师；不加班；周末双休；实习津贴；同事nice；提升个人能力；工作环境好,"【岗位职责】
1. 负责高精地图项目数据采集、处理、生产及技术研究；
2. 负责各AI算法项目样品数据集标注；
3. 负责各测绘地理信息项目数据生产;
4. 完成上级安排的其他工作事宜。

【任职要求】
1. 大专及以上学历，GIS、测绘遥感、地图学等相关专业；
2. 熟悉常用测绘相关软件，如ArcGIS、CC、pix4d、ERDAS等；
3. 熟悉地图制图基础知识、航空摄影测量内外业流程，具备地图制图、摄影测量理论知识；
4.有较强的学习能力，能够快速学习掌握作业平台，有创新意识和跨行业应用的思维逻辑。
备注：此岗位为实习岗位，可开实习证明，公司同事和导师都很Nice很优秀哦。", 中文,2025-11-24,广东省/广州市/天河区 高普路115号第一层广州极飞科技有限公司,https://www.shixiseng.com/intern/inn_rfiw9xzgrxft?pcm=pc_SearchList
inn_nxqehnnic2yc,数据文档实习生,100-150/天,中科蓝智,武汉,电子/通信/硬件,本科,5天／周,实习1个月,实习津贴；不加班；客户现场实习,"一、 岗位职责
1、现场数据梳理与录入： 在项目经理指导下，于项目现场使用客户提供的设备，对客户数据进行规范性整理、分类、编号和基础录入。
2、文档整理与归档： 协助整理项目相关纸质及电子文档（如报告、合同、图纸、会议纪要等），确保信息完整、清晰、易于查找，并按客户要求进行归档管理。
3、信息核对与更新： 对现有数据的准确性、完整性进行初步核对，并根据现场实际进展进行必要的更新维护。 
4、基础数据提取： 根据现场需求，进行简单数据查询与提取，为项目组提供数据支持。
5、严格遵守保密准则： 承诺并严格遵守公司和客户的数据保密规定，仅限现场使用客户指定设备操作，严禁任何形式的资料复制、下载、拍照、外传或带出项目现场。
6、完成现场其他辅助性工作： 如会议准备、资料打印装订等。
二、 任职要求
1、学历与专业：
学历：本科及以上在读学生（大三、大四优先）或应届毕业生。
专业：计算机、软件工程、信息管理、统计学、文秘、行政管理或相关领域优先，但也欢迎其他严谨细致、有学习意愿的同学应聘。
2、技能要求：
熟练使用Microsoft Office办公软件（Excel数据处理、Word文档编辑必须熟练）。
具备良好的中文读写能力。
学习能力强，能够快速掌握新工具和操作流程。
对保密工作有高度认识和责任心。
3、素质要求：
极其细心、耐心、责任心强： 数据工作容错率低，需具备高度认真负责的态度。
沟通协作能力： 能与项目现场同事及相关方进行有效沟通。
踏实肯干： 乐于从事基础性工作和现场服务，吃苦耐劳。
强烈的安全保密意识： 深刻理解该岗位保密性质的特殊性，并能严格遵守所有保密规定。
三、 特别说明：保密义务
本岗位涉及处理客户关键资料与数据，高度敏感且非公开。
所有工作必须、且仅限在项目现场提供的客户端设备上完成。
实习生需签署保密协议，工作过程中及工作结束后均负有严格保密义务，严禁以任何方式（包括但不限于拍照、记忆、笔记、U盘拷贝、邮件发送、网络上传）泄露、下载或带离任何项目资料和数据。
违反保密规定将承担相应法律责任。
四、 我们能提供
一个深入了解大型项目现场运作和数据管理流程的机会。
接触实际商业项目环境，积累宝贵的职场经验。
获得项目经理和资深同事的专业指导。
实习期间的津贴支持。
实习期满，表现优异者在正式招聘中可优先考虑（如岗位空缺）。", 中文,2025-11-30,湖北省/武汉市/江岸区 匠心城·三阳中心A号楼,https://www.shixiseng.com/intern/inn_nxqehnnic2yc?pcm=pc_SearchList
inn_xtjsmzht1mzn,搜索数据实习生,250-400/天,上海多云路科技有限公司,北京,互联网/游戏/软件,本科,5天／周,实习3个月,一对一导师,"【需立即到岗】
职位描述：
1、 快速熟悉公司业务和项目，能在较短的时间内进入工作状态，融入团队；
2、 协助团队一起搭建稳定高效的爬虫系统，完成业务目标，包括但不限于链接调度，索引页调度，存储优化等
3、 对爬取到的原始数据进行解析、清洗、分析，包括但不限于html解析、归一化/去重、死链检测、垃圾识别，建设高质量数据，确保数据的全和准
4、协助团队研究反爬虫技术，应对各类反爬机制，找到解决方案
职位要求：
1、本科及以上学历在读，计算机、软件工程等相关专业
2、优秀的代码能力、数据结构和基础算法功底
3、熟悉Linux开发环境、至少熟悉C/C++、Java、Python、Go等一种语言
4、有较强的学习能力和团队合作精神，能够快速响应业务需求
加分项： 
      熟悉 HTTP/HTTPS 协议工作原理，Cookie，Xpath等，对数据爬取、html解析有浓厚兴趣
      熟悉常见的反爬虫机制和应对策略，具备一定的逆向工程能力
      熟悉大数据处理、分布式系统", 中文,2026-02-28,北京市/北京市/朝阳区 冠城大厦北京市朝阳区太阳宫中路12号冠城大厦6层,https://www.shixiseng.com/intern/inn_xtjsmzht1mzn?pcm=pc_SearchList
inn_ehsgexdkedgb,数据科学实习生,150-200/天,小红书,上海,互联网/游戏/软件,硕士,4天／周,实习3个月,餐补,"工作职责
我们是谁
「数据科学与分析部」面向小红书公司和平台，与全产品矩阵的所有业务紧密协作，建设数据体系，敏锐洞察国内外市场，关注行业动态、用户&客户诉求，创造数据价值，实现数据驱动业务决策，成为业务决策大脑，打造业内领先的数据科学与分析团队。
见证为小红书提供无限可能的各象限业务的高速发展，面临多重的业务场景、复杂的业务逻辑、超大的数据量级、空前的技术挑战，助你快速上手公司全流程业务，为你提升职业生涯核心竞争力!
和靠谱和聪明的小伙伴并肩奋斗，一起攻坚互联网行业前沿的社区、社交、商业、交易、AI等产品和技术能力。和产品一起设计策略，优化用户体验，和算法工程师一起攻坚模型优化，和运营一起运筹帷幄，变革市场认知，解决业务难题，为亿级用户提供优质且完整的社区服务。

岗位职责：
1、负责小红书各业务数据支持，包括数据基建、看板搭建、实验分析、异动分析等，结合全域数据生态，为业务的发展提供数据能力支撑；
2、协助业务做好数据洞察以及定性和定量分析，迅速定位内部问题或发现潜在机会，找到可优化提升的切入点，帮助业务快速提升；
3、建设和完善业务数据分析体系，通过AB测试进行深入的归因分析，并对实验迭代提出方向性建议，帮助实验迭代和业务发展；
任职资格
1. 学历背景：硕士及以上学历者优先，数学、统计学、经济学、计算机专业优先；
2. 时间要求： 能保证连续实习至少3个月，并每周全职出勤4天及以上。优先能实习6个月以上
3. 有统计、机器学习、深度学习相关研究或实习经历优先；
4. 熟悉Python、R、Hive等常用数据技术优先；
5. 对数据敏感，具有良好的逻辑思维能力、分析总结能力、表达呈现能力；
6. 有挑战难题的热情和韧性，良好的团队沟通和协作能力。", 中文,2026-10-10,上海市/上海市/黄浦区 LuOne凯德晶萃广场,https://www.shixiseng.com/intern/inn_ehsgexdkedgb?pcm=pc_SearchList
inn_876fbp1zqrar,数据分析实习生,100-120/天,网易,北京,互联网/游戏/软件,本科,5天／周,实习3个月,免费三餐；周末双休；免费班车,"岗位职责：
1.    负责网易新闻日常数据进行监控和分析，针对异常情况进行跟踪和深入分析；
2.    协助分析师对数据洞察以及定性和定量分析，提供业务改进策略建议，为业务赋能；
3.    协助分析师进行数据分析体系建设和完善，挖掘产品、策略方面的机会；
4.    根据业务需要，提供运营日/周/月报，并针对特定主题提供相关专题分析报告；

任职要求：
1.    本科及以上学历，统计/计算机/信息管理/数学等相关专业，至少3个月，每周实习4天以上；
2.    熟练掌握SQL，Python/R语言；
3.    掌握机器学习算法和统计学方法优先；
4.    良好的沟通表达能力，团队协作能力，有极强的学习能力和好奇心；
5.    对数据敏感，热爱数据分析工作；", 中文,2025-12-31,北京市/北京市/海淀区 网易北京研发中心 西北旺东路10号院中关村软件园二期西区7号,https://www.shixiseng.com/intern/inn_876fbp1zqrar?pcm=pc_SearchList
inn_nmwauuishucr,数据应用岗实习生,120-180/天,深圳数据交易所,深圳,互联网/游戏/软件,本科,5天／周,实习3个月,实习津贴；地铁周边,"【岗位职责】
1、负责公司标准数据产品与服务的上架业务；
2、编写内部材料，制作与修改ppt；
3、参与校企联合课题项目；
4、建立并维护客户关系，推动AI体系化建设工作；
5、领导交付的其他各项任务。

【能力要求】
1、专业：统计类/计算机类/软件类/人工智能类，本科及以上学历；
2、了解AI前沿知识，如多模态大模型与具身智能，掌握相关专业技术如python，熟悉人工智能技术框架，如模型部署/训练/微调等；
3、对数据细心敏感，能主动发现并反馈问题；", 中文,2026-09-20,广东省/深圳市/福田区 深圳数据交易所,https://www.shixiseng.com/intern/inn_nmwauuishucr?pcm=pc_SearchList
inn_17aw9agwlvgz,数据分析实习生,150-200/天,满帮,南京,交通/贸易/物流,本科,5天／周,实习3个月,实习津贴；一对一导师；地铁周边,"职位描述：
1.深入同城智能定价、智能营销等核心系统的分析工作，进行数据洞察，提出策略；
2.配合算法工程师制定合理的AB实验方案、上线策略并最终回收数据；
3.完成导师安排其他的工作任务

任职要求：
1. 具备统计学、数理统计、概率论等数学理论功底，会sql；
2. 有一定的业务感知能力，能够从数据中洞察到问题；
3. 沟通及学习意愿强。", 中文,2026-10-21,江苏省/南京市/雨花台区 南京运满满总部 花神大道万博科技园A栋,https://www.shixiseng.com/intern/inn_17aw9agwlvgz?pcm=pc_SearchList
inn_nmybrizbqicm,数据分析工程师,150-200/天,美的集团,上海,电子/通信/硬件,硕士,5天／周,实习3个月,实习津贴；周末双休；餐补,"【岗位职责】
1、应用人工智能技术、大数据分析技术，整理电站运行的实际数据，并对数据进行预处理和分析
2、与熟悉系统机理的同事及事业部合作，把系统及设备机理知识与大数据分析算法相融合，研发适用于特定领域的工业智能化算法
【任职资格】
1、已获得硕士/博士学位，具有电气、电子工程、计算机、信息技术、能源动力、化学工程、应用数学、物理等相关专业背景
2、熟悉机器学习算法，拥有大数据分析实际经验
3、具备扎实的算法开发功底和编程能力，熟练应用Python进行算法开发", 中文,2026-01-04,上海市/上海市/青浦区 上海美的全球创新园区-北门,https://www.shixiseng.com/intern/inn_nmybrizbqicm?pcm=pc_SearchList
inn_qrmyl2fapd83,数据分析实习生,200-250/天,哈啰,上海,互联网/游戏/软件,本科,4天／周,实习6个月,接受大一大二；一对一导师,"职位描述：
1.专业背景
1)信息管理、统计学、计算机科学或相关专业本科及以上在读学生;2)其他专业，但具备良好的数据分析能力及Excel技能。

2.核心技能
1)熟练掌握常用办公软件的操作,熟悉sql或python;
2)对数据整理逻辑富有经验，能处理非结构化或格式不统一的数据及表格。

3.素质要求
1)耐心细致,能够高效完成重复性工作;
2)学习能力强,能在指导下快速理解掌握船舶行业相关术语或业务背景:
3)具备良好的沟通能力及团队协作意识,对数据分析有基础者优先。
4)本科及以上在读学生
5)能实习6个月以上优先", 中文,2026-01-13,上海市/上海市/闵行区 哈啰总部大厦,https://www.shixiseng.com/intern/inn_qrmyl2fapd83?pcm=pc_SearchList
inn_0pwuaq5me0w1,数据审核实习生,150/天,中种国际,北京,农林牧渔/其他,本科,3天／周,实习3个月,周末双休；接受大一大二,"岗位职责
1. 项目协助支持：协助 IT 总监及项目团队跟进项目进度，收集、整理项目相关文档（如需求文档、设计文档等），确保项目信息同步及时、准确。
2. 会议纪要整理：负责项目相关会议（如需求评审会、进度复盘会、问题研讨会等）的记录工作，会后 24 小时内完成会议纪要撰写，明确会议决议、待办事项、责任人及截止时间，并同步至项目团队所有成员。
3. 代办事项跟踪：建立并维护项目待办事项跟踪表，每日跟进待办任务进展，及时向 IT 总监反馈任务延迟、受阻等情况，协调解决任务推进过程中的简单问题，确保项目按计划推进。
4. 用户测试配合：参与系统功能用户测试工作，根据测试用例执行测试操作，详细记录测试过程中的 bug、异常现象及用户反馈，协助整理测试报告，为系统优化提供数据支持。
5. 其他辅助工作：完成 IT 总监交办的其他与项目相关的辅助任务，如数据整理、文档归档等。

任职要求
1. 学历与专业：本科及以上学历，计算机科学与技术、软件工程、信息管理与信息系统等 IT 相关专业优先，大三、大四或研一、研二学生优先，能保证每周至少 3 天、持续 3 个月及以上的实习时间。
2. 技能基础：
• 具备基本的计算机基础知识，了解软件开发的基本流程（如需求分析、设计、开发、测试、上线）者优先。
• 熟练使用 Office 办公软件（尤其是 Word 文档排版、Excel 表格数据处理、PPT 基础制作），能高效完成文档整理与数据统计工作。
3. 素质能力：
• 具备较强的责任心与执行力，能严格按照要求完成任务，对工作细节有良好的把控能力。
• 拥有良好的沟通表达能力与团队协作意识，能清晰理解需求，主动与团队成员沟通，配合完成工作。
• 学习能力强，对 IT 行业及系统开发项目有浓厚兴趣，能快速适应工作节奏，积极学习新知识、新技能。
• 具备一定的问题分析与解决能力，遇到简单问题能主动思考并尝试解决，无法解决时及时反馈

工作地点：北京市朝阳区-三元桥-凤凰置地广场F座", 中文,2025-12-27,北京市朝阳区凤凰置地广场F座7层,https://www.shixiseng.com/intern/inn_0pwuaq5me0w1?pcm=pc_SearchList
inn_5wwwmjuhw1x4,数据整理实习生,150-180/天,浦合医药,北京,医疗/健康/制药/生物,本科,3天／周,实习3个月,实习津贴；零基础实习；远程实习,"岗位职责：
• 根据公司提供的关键词（如靶点、疾病名），在各大期刊/数据库检索相关文献；
• 每周下载整理约 500 篇文献，并按要求分类、命名、归档；
• 确保文献整理的完整性和准确性，定期提交进度汇报；
• 与研发团队沟通，持续更新检索关键词和优先级。

岗位要求
• 药物化学、分子生物学、药理学等专业大三、大四或研究生在读；
• 具备基本科研文献阅读能力，能快速理解文献题目与摘要；
• 熟悉 PubMed、Web of Science 等数据库优先；
• 工作细致，能够按时完成目标；
• 熟练使用 Excel 等基础办公软件。", 中文,2025-12-28,北京市/北京市/朝阳区 望京SOHO T2A座1707室,https://www.shixiseng.com/intern/inn_5wwwmjuhw1x4?pcm=pc_SearchList
inn_1dejyrxe79a9,数据分析实习生,100-120/天,长城基金,深圳,金融/经济/投资/财会,硕士,3天／周,实习2个月,留学生实习；地铁周边；一对一导师,"岗位职责：
1、负责公司经营数据的收集、清洗、分析和可视化工作，建立完善的数据分析体系；
2、跟踪行业数据，开展同业对标分析，输出具有前瞻性的研究报告。

任职要求：
1、金融、统计、金融工程等相关专业研一、研二在校生；
2、熟练掌握Python/SQL等数据分析工具；
3、具备较强的逻辑思维能力及文字能力；
4、可每周到岗至少3天。", 中文,2026-02-12,广东省/深圳市/福田区 长城基金管理有限公司(鹏程二路) 广电金融中心38层,https://www.shixiseng.com/intern/inn_1dejyrxe79a9?pcm=pc_SearchList
inn_cmjuoudm9eez,数据标注实习生,150-200/天,广联达,西安,互联网/游戏/软件,不限,4天／周,实习3个月,不加班；地铁周边；一对一导师,"任职要求：
1、建筑工程专业，本科及以上
2、熟悉土建钢筋算量业务，可以独立完成土建钢筋图纸识图与算量
3、熟悉AutoCAD软件，广联达软件，对广联达BIM土建计量GTJ软件熟练掌握者优先
4、目标感强，责任心强，善于沟通
5、实习周期3月以上，每周到岗需大于等于4天
岗位职责：
1、负责土建钢筋算量专业的图纸分析，标准数据建立
2、协助算法工程师准备训练集和测试集
3、协助做GTJ模型的钢筋信息校核", 中文,2026-04-09,陕西省/西安市/未央区 广联达西安数字建筑研发大厦,https://www.shixiseng.com/intern/inn_cmjuoudm9eez?pcm=pc_SearchList
inn_n1sd7vrgkxz2,数据标注实习生,150-200/天,广联达,北京,互联网/游戏/软件,不限,5天／周,实习6个月,零基础实习；周末双休,"岗位职责：
1.  负责业务数据标签制作与管理，包括工业安装算量业务的数据标签分析、制作与清洗，构建高质量数据集，支撑AI模型训练与业务算法优化。
2.  根据业务需求，承接标准数据制作任务及维护任务，确保数据的准确性；
3.  协助团队完成日常识别率回归测试，监控数据模型性能波动，发现异常及时对接团队沟通识别优化；
任职要求：
1.  计算机科学、电子工程、或数据科学等相关专业在读大学生。
2.  具备机器学习基础知识，了解工业图纸，有实际项目或课程项目数据标注、模型训练经验将被优先考虑。
3.  需要对数据敏感，能发现问题并推动解决，分析逻辑清晰，有较强的数据汇总能力。
4.  良好的团队合作精神和优秀的学习能力，能够在指导下独立完成任务。
5.  能够保证每周至少3天的实习时间，实习期持续6个月以上（长期优先）。", 中文,2026-04-09,北京市/北京市/海淀区 广联达大厦2期,https://www.shixiseng.com/intern/inn_n1sd7vrgkxz2?pcm=pc_SearchList
